ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"92.247.31.37","elite","N/A","BG","N/A","203","N/A","4145","socks4","N/A","1","2022-01-09T07:03:04.279Z","100","1","1"
"204.236.255.196","elite","N/A","US","N/A","61","N/A","1080","socks4","N/A","30001","2022-01-09T07:03:02.553Z","100","1","1"
"212.98.147.60","elite","N/A","LB","N/A","188","N/A","4153","socks4","N/A","407","2022-01-09T07:03:00.376Z","100","1","1"
"103.80.237.93","elite","N/A","ID","N/A","202","N/A","5678","socks4","N/A","3461","2022-01-09T07:02:58.088Z","100","1","1"
"91.202.79.10","elite","N/A","RU","N/A","223","N/A","3629","socks4","N/A","7670","2022-01-09T07:02:57.389Z","100","1","1"
"109.167.249.41","elite","N/A","RU","N/A","176","N/A","4145","socks4","N/A","1","2022-01-09T07:02:55.053Z","100","1","1"
"103.54.148.46","elite","N/A","BD","N/A","303","N/A","1080","socks4","N/A","30001","2022-01-09T07:02:52.774Z","100","1","1"
"103.50.170.141","elite","N/A","BD","N/A","283","N/A","4145","socks4","N/A","1","2022-01-09T07:02:50.370Z","100","1","1"
"103.79.96.190","elite","N/A","ID","N/A","190","N/A","4153","socks4","N/A","1573","2022-01-09T07:02:50.148Z","100","1","1"
"103.87.201.135","elite","N/A","ID","N/A","194","N/A","4145","socks4","N/A","30001","2022-01-09T07:02:49.480Z","100","1","1"
"103.76.149.156","elite","N/A","ID","N/A","222","N/A","5678","socks4","N/A","1","2022-01-09T07:02:49.405Z","100","1","1"
"91.198.137.31","elite","N/A","DE","N/A","178","N/A","3539","socks4","N/A","361","2022-01-09T07:02:49.222Z","100","1","1"
"93.157.233.125","elite","N/A","RU","N/A","198","N/A","31778","socks4","N/A","421","2022-01-09T07:02:48.630Z","100","1","1"
"213.6.162.158","elite","N/A","PS","N/A","207","N/A","1080","socks4","N/A","1446","2022-01-09T07:02:47.686Z","100","1","1"
"103.235.199.43","elite","N/A","NP","N/A","307","N/A","5678","socks4","N/A","614","2022-01-09T07:02:47.185Z","100","1","1"
"217.219.179.51","elite","N/A","IR","N/A","285","N/A","4153","socks4","N/A","30002","2022-01-09T07:02:47.935Z","100","1","1"
"222.165.234.242","elite","N/A","ID","N/A","197","N/A","41541","socks4","N/A","30001","2022-01-09T07:02:46.948Z","100","1","1"
"103.212.92.253","elite","N/A","IN","N/A","260","N/A","41363","socks4","N/A","30002","2022-01-09T07:02:46.154Z","100","1","1"
"182.54.148.1","elite","N/A","IN","N/A","250","N/A","4145","socks4","N/A","493","2022-01-09T07:02:45.518Z","100","1","1"
"94.232.208.84","elite","N/A","UA","N/A","188","N/A","5678","socks4","N/A","574","2022-01-09T07:02:44.080Z","100","1","1"
"109.173.96.85","elite","N/A","RU","N/A","189","N/A","3629","socks4","N/A","30001","2022-01-09T07:02:44.650Z","100","1","1"
"212.230.191.30","elite","N/A","ES","N/A","165","N/A","1080","socks4","N/A","335","2022-01-09T07:02:44.676Z","100","1","1"
"103.47.93.113","elite","N/A","IN","N/A","275","N/A","1080","socks4","N/A","30001","2022-01-09T07:02:43.779Z","100","1","1"
"94.20.21.7","elite","N/A","AZ","N/A","232","N/A","4153","socks4","N/A","475","2022-01-09T07:02:42.970Z","100","1","1"
"190.182.229.11","elite","N/A","AR","N/A","226","N/A","5678","socks4","N/A","456","2022-01-09T07:02:41.386Z","100","1","1"
"190.217.58.90","elite","N/A","CO","N/A","119","N/A","5678","socks4","N/A","256","2022-01-09T07:02:41.780Z","100","1","1"
"96.9.66.200","elite","N/A","KH","N/A","191","N/A","4153","socks4","N/A","387","2022-01-09T07:02:40.637Z","100","1","1"
"190.63.174.18","elite","N/A","EC","N/A","144","N/A","5678","socks4","N/A","303","2022-01-09T07:02:39.561Z","100","1","1"
"103.84.178.193","elite","N/A","IN","N/A","220","N/A","4153","socks4","N/A","1","2022-01-09T07:02:39.953Z","100","1","1"
"190.104.26.227","elite","N/A","BO","N/A","153","N/A","33638","socks4","N/A","1","2022-01-09T07:02:39.022Z","100","1","1"
